epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,362.623,1.4121,1.02003,1.86382,0.85196,0.78824,0.83004,0.4513,1.62482,1.00773,2.1461,0.00089115,0.00089115,0.00089115
43,370.294,1.4425,1.03472,1.87992,0.84681,0.77303,0.83201,0.45841,1.604,1.00615,2.13974,0.0008763,0.0008763,0.0008763
44,377.97,1.40191,1.001,1.85842,0.8506,0.7775,0.81731,0.43542,1.63669,1.0098,2.16356,0.00086145,0.00086145,0.00086145
45,385.769,1.41222,1.01322,1.85876,0.84748,0.76547,0.82577,0.46666,1.59239,0.97624,2.10701,0.0008466,0.0008466,0.0008466
46,393.606,1.41557,1.02389,1.86395,0.83474,0.78669,0.82721,0.45879,1.63377,1.00951,2.16285,0.00083175,0.00083175,0.00083175
47,401.23,1.38556,0.98332,1.82828,0.82611,0.78089,0.8303,0.45773,1.59493,0.96781,2.1063,0.0008169,0.0008169,0.0008169
48,408.857,1.37664,0.96769,1.81915,0.8375,0.79316,0.81963,0.44565,1.62292,0.98552,2.15152,0.00080205,0.00080205,0.00080205
49,416.675,1.39741,0.97248,1.84795,0.85207,0.77764,0.82896,0.45999,1.64686,0.98468,2.17941,0.0007872,0.0007872,0.0007872
50,424.584,1.38405,0.97021,1.82607,0.82468,0.78654,0.82585,0.47015,1.56876,0.99725,2.09486,0.00077235,0.00077235,0.00077235
51,432.417,1.36865,0.95407,1.82585,0.85252,0.76388,0.81084,0.42891,1.70741,1.04303,2.25174,0.0007575,0.0007575,0.0007575
52,440.087,1.39149,0.96433,1.84546,0.84795,0.7842,0.8344,0.45901,1.60511,0.9667,2.1243,0.00074265,0.00074265,0.00074265
53,447.903,1.34869,0.9577,1.80877,0.83956,0.79323,0.83729,0.46644,1.59351,0.98074,2.11252,0.0007278,0.0007278,0.0007278
54,455.946,1.364,0.94946,1.80445,0.85449,0.76331,0.82295,0.44805,1.66538,1.01067,2.17484,0.00071295,0.00071295,0.00071295
55,464.339,1.3742,0.95032,1.80851,0.84448,0.79634,0.83009,0.46281,1.60966,0.96564,2.12686,0.0006981,0.0006981,0.0006981
56,472.254,1.33821,0.92228,1.78676,0.8333,0.78538,0.83762,0.47953,1.58208,0.92134,2.09575,0.00068325,0.00068325,0.00068325
57,480.186,1.34629,0.9373,1.78838,0.87342,0.77373,0.84043,0.46897,1.58439,0.95869,2.10454,0.0006684,0.0006684,0.0006684
58,487.978,1.35722,0.92885,1.80361,0.84942,0.78054,0.8371,0.46961,1.56286,0.95531,2.09012,0.00065355,0.00065355,0.00065355
59,496.057,1.34471,0.93003,1.79053,0.8293,0.81092,0.84296,0.46784,1.60743,0.94457,2.13361,0.0006387,0.0006387,0.0006387
60,504.26,1.34253,0.92886,1.78831,0.85456,0.79276,0.84288,0.46485,1.58921,0.93757,2.11385,0.00062385,0.00062385,0.00062385
61,512.151,1.32101,0.91852,1.7636,0.8695,0.76196,0.82758,0.46072,1.62031,0.91993,2.1369,0.000609,0.000609,0.000609
62,519.725,1.33451,0.91776,1.79092,0.84162,0.7948,0.82279,0.45315,1.59838,0.93343,2.1438,0.00059415,0.00059415,0.00059415
63,527.551,1.32526,0.90169,1.77253,0.8407,0.80922,0.84721,0.47019,1.58374,0.89287,2.1091,0.0005793,0.0005793,0.0005793
64,535.219,1.32034,0.89164,1.76022,0.85171,0.79718,0.83736,0.46587,1.58004,0.90376,2.11293,0.00056445,0.00056445,0.00056445
65,543.172,1.29817,0.88661,1.74663,0.86157,0.78802,0.83885,0.46103,1.61742,0.9235,2.13541,0.0005496,0.0005496,0.0005496
66,550.882,1.29001,0.87569,1.74723,0.85095,0.78957,0.84239,0.46942,1.60265,0.89418,2.1218,0.00053475,0.00053475,0.00053475
67,558.739,1.31011,0.89974,1.75477,0.84788,0.80272,0.84148,0.46153,1.62008,0.90335,2.14787,0.0005199,0.0005199,0.0005199
68,566.341,1.30033,0.87814,1.73506,0.86387,0.7715,0.83213,0.46108,1.61794,0.90242,2.13697,0.00050505,0.00050505,0.00050505
69,574.015,1.26132,0.84307,1.71563,0.87063,0.79703,0.84715,0.47292,1.60282,0.89762,2.13714,0.0004902,0.0004902,0.0004902
70,581.747,1.26331,0.8384,1.72479,0.85085,0.80662,0.84728,0.47087,1.60692,0.87834,2.14759,0.00047535,0.00047535,0.00047535
71,589.614,1.27666,0.85447,1.73541,0.84995,0.81236,0.84523,0.46919,1.60545,0.86923,2.14261,0.0004605,0.0004605,0.0004605
72,597.433,1.25006,0.83132,1.70653,0.84377,0.81585,0.84791,0.47155,1.61629,0.88109,2.16198,0.00044565,0.00044565,0.00044565
73,605.218,1.27242,0.84525,1.71393,0.84144,0.77402,0.82619,0.46412,1.58726,0.90698,2.12788,0.0004308,0.0004308,0.0004308
74,612.52,1.25314,0.83717,1.70381,0.84397,0.80133,0.83264,0.46481,1.61704,0.8958,2.15575,0.00041595,0.00041595,0.00041595
75,620.19,1.25129,0.83104,1.70505,0.85218,0.80826,0.84584,0.47144,1.59376,0.87449,2.12928,0.0004011,0.0004011,0.0004011
76,628.086,1.23683,0.81776,1.69431,0.84188,0.80286,0.84732,0.47371,1.57886,0.87891,2.10948,0.00038625,0.00038625,0.00038625
77,635.71,1.25855,0.84106,1.71177,0.84922,0.81026,0.85348,0.47547,1.5795,0.87261,2.11302,0.0003714,0.0003714,0.0003714
78,643.407,1.24294,0.83249,1.70766,0.8649,0.79759,0.84908,0.46503,1.59434,0.86677,2.13459,0.00035655,0.00035655,0.00035655
79,651.096,1.22045,0.80311,1.67639,0.85475,0.81067,0.85319,0.47416,1.62188,0.85682,2.15296,0.0003417,0.0003417,0.0003417
