pair,normal_dir,graph_dir,normal_wall_fps,graph_wall_fps,wall_fps_improvement_percent,normal_e2e_mean_ms,graph_e2e_mean_ms,e2e_mean_improvement_percent,normal_e2e_p95_ms,graph_e2e_p95_ms,e2e_p95_improvement_percent
1,/home/nvidia/projects/jetson-ppe-deploy-opt/results/profiling/exp18_benchmark_normal_file_20260810_171232,/home/nvidia/projects/jetson-ppe-deploy-opt/results/profiling/exp18_benchmark_graph_file_20260810_171236,70.965392847,62.527286882,-11.890451988608582,12.832696627,14.7575086,-14.999279020982959,14.9122189,15.1216998,-1.4047600924098618
2,/home/nvidia/projects/jetson-ppe-deploy-opt/results/profiling/exp18_benchmark_normal_file_20260810_171242,/home/nvidia/projects/jetson-ppe-deploy-opt/results/profiling/exp18_benchmark_graph_file_20260810_171239,69.729092384,71.808728616,2.9824513139327635,13.064275567,12.74664108,2.4313210891106385,14.9285116,13.2890506,10.982079419089581
3,/home/nvidia/projects/jetson-ppe-deploy-opt/results/profiling/exp18_benchmark_normal_file_20260810_171246,/home/nvidia/projects/jetson-ppe-deploy-opt/results/profiling/exp18_benchmark_graph_file_20260810_171249,63.036486067,62.545073968,-0.7795677228544928,14.582908193,14.740583693,-1.081234949251661,15.3162973,15.48355915,-1.0920514712129488
