model,class_name,gt,tp,fp,fn,precision,recall,f1
baseline,person,337,288,86,49,0.7700534759358288,0.8545994065281899,0.810126582278481
baseline,helmet,259,232,26,27,0.8992248062015504,0.8957528957528957,0.8974854932301741
baseline,safety_vest,244,211,57,33,0.7873134328358209,0.8647540983606558,0.8242187499999999
rep_deploy,person,337,289,63,48,0.8210227272727273,0.857566765578635,0.8388969521044993
rep_deploy,helmet,259,222,32,37,0.8740157480314961,0.8571428571428571,0.8654970760233919
rep_deploy,safety_vest,244,210,47,34,0.8171206225680934,0.860655737704918,0.8383233532934131
