image_index,image,label,gt,predictions,tp,fp,fn,error_score
88,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image447.jpg,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/labels/test/train__image447.txt,2,2,2,0,0,0
89,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image448.jpg,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/labels/test/train__image448.txt,5,5,5,0,0,0
90,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image449.jpg,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/labels/test/train__image449.txt,3,3,3,0,0,0
91,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image451.jpg,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/labels/test/train__image451.txt,3,3,3,0,0,0
92,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image452.jpg,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/labels/test/train__image452.txt,3,3,3,0,0,0
93,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image453.jpg,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/labels/test/train__image453.txt,3,3,3,0,0,0
94,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image454.jpg,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/labels/test/train__image454.txt,2,3,2,1,0,1
95,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image455.jpg,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/labels/test/train__image455.txt,2,3,2,1,0,1
96,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image456.jpg,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/labels/test/train__image456.txt,3,3,2,1,1,2
97,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image457.jpg,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/labels/test/train__image457.txt,3,3,3,0,0,0
98,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image458.jpg,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/labels/test/train__image458.txt,3,3,3,0,0,0
99,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image461.jpg,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/labels/test/train__image461.txt,3,3,3,0,0,0
100,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image463.jpg,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/labels/test/train__image463.txt,18,15,13,2,5,7
101,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image465.jpg,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/labels/test/train__image465.txt,17,20,15,5,2,7
102,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image466.jpg,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/labels/test/train__image466.txt,13,16,12,4,1,5
103,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image467.jpg,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/labels/test/train__image467.txt,6,8,6,2,0,2
104,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image468.jpg,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/labels/test/train__image468.txt,10,10,6,4,4,8
105,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image469.jpg,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/labels/test/train__image469.txt,11,20,9,11,2,13
106,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image471.jpg,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/labels/test/train__image471.txt,3,3,3,0,0,0
107,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image472.jpg,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/labels/test/train__image472.txt,2,4,2,2,0,2
108,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image473.jpg,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/labels/test/train__image473.txt,3,5,3,2,0,2
109,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image474.jpeg,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/labels/test/train__image474.txt,3,2,2,0,1,1
110,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image475.jpg,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/labels/test/train__image475.txt,1,1,0,1,1,2
111,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image476.jpg,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/labels/test/train__image476.txt,5,5,5,0,0,0
112,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image477.jpg,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/labels/test/train__image477.txt,3,3,3,0,0,0
113,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image478.jpg,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/labels/test/train__image478.txt,3,3,3,0,0,0
114,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image479.jpg,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/labels/test/train__image479.txt,1,2,1,1,0,1
115,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image5.jpeg,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/labels/test/train__image5.txt,9,9,8,1,1,2
116,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image7.jpg,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/labels/test/train__image7.txt,3,3,3,0,0,0
117,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image760.jpg,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/labels/test/train__image760.txt,3,3,3,0,0,0
118,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image761.jpg,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/labels/test/train__image761.txt,3,3,3,0,0,0
119,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image764.jpg,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/labels/test/train__image764.txt,3,4,3,1,0,1
120,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image765.jpg,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/labels/test/train__image765.txt,3,3,3,0,0,0
121,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image766.jpeg,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/labels/test/train__image766.txt,2,3,2,1,0,1
122,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image768.jpg,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/labels/test/train__image768.txt,3,3,3,0,0,0
123,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image769.jpg,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/labels/test/train__image769.txt,3,3,1,2,2,4
124,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image770.jpg,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/labels/test/train__image770.txt,3,3,3,0,0,0
125,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image773.jpg,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/labels/test/train__image773.txt,5,3,3,0,2,2
126,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image774.jpeg,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/labels/test/train__image774.txt,15,9,9,0,6,6
127,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image775.jpg,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/labels/test/train__image775.txt,5,3,3,0,2,2
128,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image776.jpg,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/labels/test/train__image776.txt,5,3,2,1,3,4
129,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image777.jpg,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/labels/test/train__image777.txt,5,4,3,1,2,3
130,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image778.jpg,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/labels/test/train__image778.txt,5,3,3,0,2,2
131,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image780.jpg,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/labels/test/train__image780.txt,3,0,0,0,3,3
132,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image781.jpg,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/labels/test/train__image781.txt,3,2,1,1,2,3
133,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image782.jpg,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/labels/test/train__image782.txt,3,3,3,0,0,0
134,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image783.jpeg,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/labels/test/train__image783.txt,5,17,5,12,0,12
135,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image784.jpg,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/labels/test/train__image784.txt,23,30,21,9,2,11
136,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image785.jpeg,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/labels/test/train__image785.txt,2,3,2,1,0,1
137,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image786.jpg,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/labels/test/train__image786.txt,3,3,3,0,0,0
138,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image788.jpg,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/labels/test/train__image788.txt,3,1,1,0,2,2
139,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image789.jpg,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/labels/test/train__image789.txt,12,11,11,0,1,1
140,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image790.jpg,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/labels/test/train__image790.txt,2,1,1,0,1,1
141,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image791.jpg,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/labels/test/train__image791.txt,2,1,1,0,1,1
142,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image792.jpg,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/labels/test/train__image792.txt,2,3,2,1,0,1
143,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image793.jpg,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/labels/test/train__image793.txt,2,2,2,0,0,0
144,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image794.jpg,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/labels/test/train__image794.txt,3,3,3,0,0,0
145,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image795.jpeg,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/labels/test/train__image795.txt,6,5,5,0,1,1
146,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image797.jpg,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/labels/test/train__image797.txt,6,7,6,1,0,1
147,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image799.jpg,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/labels/test/train__image799.txt,9,11,7,4,2,6
148,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image8.jpeg,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/labels/test/train__image8.txt,3,4,2,2,1,3
149,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image880.jpg,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/labels/test/train__image880.txt,3,3,3,0,0,0
150,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image881.jpg,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/labels/test/train__image881.txt,3,3,3,0,0,0
151,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image882.jpg,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/labels/test/train__image882.txt,3,4,3,1,0,1
152,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image883.jpg,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/labels/test/train__image883.txt,3,3,3,0,0,0
153,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image886.jpeg,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/labels/test/train__image886.txt,6,7,6,1,0,1
154,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image887.jpg,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/labels/test/train__image887.txt,6,8,6,2,0,2
155,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image888.jpg,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/labels/test/train__image888.txt,3,3,3,0,0,0
156,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image889.jpg,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/labels/test/train__image889.txt,3,3,3,0,0,0
157,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image890.jpg,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/labels/test/train__image890.txt,3,3,3,0,0,0
158,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image891.jpg,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/labels/test/train__image891.txt,3,3,3,0,0,0
159,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image892.jpg,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/labels/test/train__image892.txt,3,3,3,0,0,0
160,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image893.jpg,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/labels/test/train__image893.txt,3,3,3,0,0,0
161,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image894.jpg,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/labels/test/train__image894.txt,3,3,3,0,0,0
162,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image895.jpg,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/labels/test/train__image895.txt,3,3,3,0,0,0
163,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image898.jpg,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/labels/test/train__image898.txt,3,3,3,0,0,0
164,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image899.jpg,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/labels/test/train__image899.txt,3,3,3,0,0,0
165,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image900.jpg,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/labels/test/train__image900.txt,3,3,3,0,0,0
166,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image901.jpg,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/labels/test/train__image901.txt,3,3,3,0,0,0
167,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image902.jpg,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/labels/test/train__image902.txt,3,3,3,0,0,0
168,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image903.jpg,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/labels/test/train__image903.txt,3,3,3,0,0,0
169,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image904.jpg,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/labels/test/train__image904.txt,3,3,3,0,0,0
170,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image906.jpg,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/labels/test/train__image906.txt,3,3,3,0,0,0
171,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image907.jpeg,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/labels/test/train__image907.txt,6,6,6,0,0,0
172,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image908.jpg,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/labels/test/train__image908.txt,9,9,9,0,0,0
173,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image909.jpg,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/labels/test/train__image909.txt,3,3,3,0,0,0
174,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image911.jpg,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/labels/test/train__image911.txt,3,3,3,0,0,0
175,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image912.jpg,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/labels/test/train__image912.txt,3,3,3,0,0,0
176,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image914.jpeg,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/labels/test/train__image914.txt,6,7,6,1,0,1
177,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image915.jpg,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/labels/test/train__image915.txt,3,3,3,0,0,0
178,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image916.jpg,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/labels/test/train__image916.txt,3,3,3,0,0,0
179,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image917.jpg,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/labels/test/train__image917.txt,3,3,3,0,0,0
180,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image918.jpg,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/labels/test/train__image918.txt,3,3,3,0,0,0
181,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image919.jpeg,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/labels/test/train__image919.txt,6,8,4,4,2,6
182,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image980.jpg,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/labels/test/train__image980.txt,3,3,3,0,0,0
183,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image982.jpg,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/labels/test/train__image982.txt,3,3,2,1,1,2
184,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image983.jpg,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/labels/test/train__image983.txt,3,3,3,0,0,0
185,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image984.jpg,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/labels/test/train__image984.txt,3,3,3,0,0,0
186,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image985.jpg,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/labels/test/train__image985.txt,3,3,3,0,0,0
187,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image986.jpg,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/labels/test/train__image986.txt,3,3,3,0,0,0
188,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image988.jpeg,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/labels/test/train__image988.txt,2,2,2,0,0,0
189,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image990.jpg,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/labels/test/train__image990.txt,3,3,3,0,0,0
190,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/images/test/train__image991.jpg,/root/autodl-tmp/datasets/derived/construction_ppe3_final_split_v1_20260804_175104/labels/test/train__image991.txt,3,3,3,0,0,0
