round,order_index,path,run_dir,pipeline_wall_fps,e2e_mean_ms,e2e_p95_ms,e2e_p99_ms,gpu_postprocess_cuda_ms,count_sync_host_ms,candidate_sync_host_ms,cpu_decode_filter_ms,cpu_candidate_scan_ms,cpu_nms_ms,d2h_bytes,max_temperature_c
1,1,P0,/home/nvidia/projects/jetson-ppe-deploy-opt/results/gpu_postprocess/postprocess_gain_gate_P0_20260809_153201,62.820790651,14.679951613,15.67002775,15.73877011,0.0,0.0,6.610734367,0.178703933,0.0,0.008669993,235200.0,49.812
1,2,P1,/home/nvidia/projects/jetson-ppe-deploy-opt/results/gpu_postprocess/postprocess_gain_gate_P1_20260809_153205,63.163916851,14.564168573,15.2286482,15.91745808,0.052374827,0.0,6.245353667,0.0,0.1381593,0.00963982,235200.0,50.187
1,3,P2,/home/nvidia/projects/jetson-ppe-deploy-opt/results/gpu_postprocess/postprocess_gain_gate_P2_20260809_153209,63.953123827,14.38404184,15.00060875,15.14043369,0.050379307,6.47058598,0.007539573,0.0,0.004305107,0.009510507,263.84,50.218
2,1,P2,/home/nvidia/projects/jetson-ppe-deploy-opt/results/gpu_postprocess/postprocess_gain_gate_P2_20260809_153212,62.128909306,14.845547027,15.1872498,15.45512906,0.049325653,6.39723842,0.00732258,0.0,0.004078373,0.009674793,263.84,50.5
2,2,P1,/home/nvidia/projects/jetson-ppe-deploy-opt/results/gpu_postprocess/postprocess_gain_gate_P1_20260809_153216,66.297872054,13.83680774,15.1882646,15.39725964,0.051560107,0.0,6.40172254,0.0,0.137603493,0.009195627,235200.0,50.562
2,3,P0,/home/nvidia/projects/jetson-ppe-deploy-opt/results/gpu_postprocess/postprocess_gain_gate_P0_20260809_153220,67.730152731,13.56971772,15.7112334,16.06034824,0.0,0.0,6.3210056,0.178476647,0.0,0.008599207,235200.0,50.781
3,1,P1,/home/nvidia/projects/jetson-ppe-deploy-opt/results/gpu_postprocess/postprocess_gain_gate_P1_20260809_153223,70.170287293,12.9832732,15.20700555,15.33387925,0.04841408,0.0,6.065277133,0.0,0.138169033,0.009465253,235200.0,51.375
3,2,P0,/home/nvidia/projects/jetson-ppe-deploy-opt/results/gpu_postprocess/postprocess_gain_gate_P0_20260809_153227,62.366292827,14.789654087,15.677337,15.80736735,0.0,0.0,6.297080747,0.178299253,0.0,0.00887032,235200.0,51.218
3,3,P2,/home/nvidia/projects/jetson-ppe-deploy-opt/results/gpu_postprocess/postprocess_gain_gate_P2_20260809_153230,69.027675346,13.261871973,14.9270966,15.00303571,0.048058453,6.159896133,0.007027927,0.0,0.00406836,0.00982036,263.84,51.312
