epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,306.1,1.33424,0.85233,1.46434,0.83688,0.78378,0.81481,0.44437,1.63021,0.86732,1.84394,0.00089115,0.00089115,0.00089115
43,312.763,1.34669,0.86286,1.46029,0.84734,0.77022,0.82621,0.46462,1.56969,0.88054,1.78616,0.0008763,0.0008763,0.0008763
44,319.346,1.31019,0.82849,1.44427,0.82884,0.80118,0.83389,0.45941,1.61785,0.84246,1.8494,0.00086145,0.00086145,0.00086145
45,325.16,1.32457,0.85119,1.45865,0.85116,0.78673,0.83702,0.46392,1.56124,0.87873,1.80289,0.0008466,0.0008466,0.0008466
46,331.726,1.3204,0.84899,1.46265,0.86834,0.78019,0.83364,0.4513,1.64059,0.84776,1.84991,0.00083175,0.00083175,0.00083175
47,338.277,1.29937,0.82825,1.43713,0.85672,0.76823,0.83536,0.45762,1.60539,0.87816,1.83096,0.0008169,0.0008169,0.0008169
48,344.743,1.29015,0.82055,1.4391,0.84322,0.79294,0.84679,0.4722,1.58022,0.85232,1.80964,0.00080205,0.00080205,0.00080205
49,351.424,1.30105,0.81038,1.44733,0.84852,0.7874,0.83394,0.46298,1.5795,0.84357,1.80855,0.0007872,0.0007872,0.0007872
50,358.087,1.29731,0.80938,1.42375,0.8455,0.79715,0.83247,0.4619,1.54737,0.86003,1.77519,0.00077235,0.00077235,0.00077235
51,364.94,1.28593,0.8029,1.4274,0.85902,0.7795,0.83257,0.45578,1.60923,0.84368,1.84432,0.0007575,0.0007575,0.0007575
52,371.698,1.29343,0.80195,1.44067,0.85178,0.77987,0.83914,0.45833,1.62513,0.83449,1.8674,0.00074265,0.00074265,0.00074265
53,379.125,1.26611,0.8005,1.42124,0.84745,0.78036,0.83368,0.46719,1.55045,0.82765,1.79009,0.0007278,0.0007278,0.0007278
54,386.548,1.29194,0.79764,1.43625,0.86641,0.77955,0.83938,0.46443,1.59398,0.83222,1.83131,0.00071295,0.00071295,0.00071295
55,394.719,1.28593,0.79434,1.42498,0.8653,0.79502,0.84118,0.46783,1.55875,0.81294,1.78747,0.0006981,0.0006981,0.0006981
56,401.586,1.25884,0.78095,1.40946,0.86194,0.78604,0.83988,0.46252,1.58241,0.82261,1.81298,0.00068325,0.00068325,0.00068325
57,408.585,1.26172,0.78117,1.40396,0.87827,0.77382,0.84322,0.47273,1.5748,0.86138,1.80268,0.0006684,0.0006684,0.0006684
58,415.351,1.26368,0.77491,1.41432,0.85372,0.77362,0.83552,0.4711,1.52489,0.86211,1.77371,0.00065355,0.00065355,0.00065355
59,422.09,1.26938,0.77925,1.40948,0.85987,0.78836,0.83987,0.46841,1.58693,0.82026,1.80427,0.0006387,0.0006387,0.0006387
60,428.725,1.25832,0.78026,1.40725,0.85414,0.80293,0.85247,0.47731,1.55913,0.81882,1.79013,0.00062385,0.00062385,0.00062385
61,435.364,1.24732,0.76897,1.39528,0.85291,0.79244,0.83744,0.46472,1.57993,0.80421,1.81608,0.000609,0.000609,0.000609
62,442.119,1.26343,0.7646,1.41556,0.85365,0.81743,0.84057,0.4664,1.55252,0.78973,1.79163,0.00059415,0.00059415,0.00059415
63,449.575,1.23472,0.75449,1.39291,0.86054,0.79608,0.83417,0.47166,1.53811,0.78777,1.7759,0.0005793,0.0005793,0.0005793
64,456.354,1.2508,0.74335,1.38993,0.84674,0.8118,0.84253,0.46754,1.55604,0.79766,1.79677,0.00056445,0.00056445,0.00056445
65,463.088,1.22992,0.74561,1.38201,0.86637,0.80152,0.84348,0.47212,1.56722,0.78158,1.80749,0.0005496,0.0005496,0.0005496
66,469.719,1.22365,0.73622,1.39124,0.86351,0.80204,0.8392,0.47124,1.54106,0.79793,1.78534,0.00053475,0.00053475,0.00053475
67,476.485,1.2254,0.74866,1.37041,0.85646,0.78599,0.83526,0.45582,1.60826,0.80139,1.85338,0.0005199,0.0005199,0.0005199
68,483.389,1.21207,0.73749,1.36876,0.85427,0.79312,0.82524,0.46223,1.55271,0.80102,1.80919,0.00050505,0.00050505,0.00050505
69,489.88,1.18198,0.71695,1.35928,0.8385,0.79901,0.83365,0.46855,1.55783,0.79842,1.8102,0.0004902,0.0004902,0.0004902
70,496.496,1.17946,0.71769,1.36136,0.86073,0.7954,0.83881,0.46887,1.57283,0.79094,1.82077,0.00047535,0.00047535,0.00047535
71,503.149,1.19915,0.72365,1.37109,0.873,0.78532,0.8358,0.47513,1.55315,0.77247,1.81253,0.0004605,0.0004605,0.0004605
72,509.659,1.17082,0.70375,1.35088,0.84987,0.81069,0.84884,0.46858,1.56824,0.76925,1.83022,0.00044565,0.00044565,0.00044565
73,516.302,1.19477,0.70929,1.3531,0.87242,0.79297,0.84256,0.47226,1.53721,0.79475,1.79483,0.0004308,0.0004308,0.0004308
74,523.08,1.18484,0.70906,1.34644,0.86658,0.79576,0.83653,0.47616,1.55254,0.77621,1.81148,0.00041595,0.00041595,0.00041595
75,529.872,1.18319,0.70898,1.35794,0.86699,0.78948,0.84493,0.46874,1.586,0.79268,1.84092,0.0004011,0.0004011,0.0004011
76,536.614,1.1605,0.69114,1.34173,0.82935,0.83202,0.84404,0.47095,1.52658,0.78834,1.77289,0.00038625,0.00038625,0.00038625
