epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,435.952,1.17415,0.19099,1.46348,0.78295,0.71794,0.77516,0.436,1.36498,0.20005,1.76067,0.00089115,0.00089115,0.00089115
43,445.668,1.19047,0.19059,1.46623,0.7962,0.70741,0.76918,0.42683,1.34683,0.19977,1.74703,0.0008763,0.0008763,0.0008763
44,455.28,1.15571,0.18752,1.448,0.76669,0.69184,0.75519,0.42362,1.41078,0.20268,1.80414,0.00086145,0.00086145,0.00086145
45,464.767,1.1638,0.18924,1.45673,0.80737,0.71371,0.7865,0.44073,1.33828,0.19786,1.7444,0.0008466,0.0008466,0.0008466
46,473.902,1.16127,0.18774,1.46483,0.79957,0.71044,0.79093,0.44994,1.36793,0.19559,1.75286,0.00083175,0.00083175,0.00083175
47,482.691,1.14645,0.18551,1.44788,0.81064,0.72953,0.78417,0.45138,1.32446,0.19649,1.7358,0.0008169,0.0008169,0.0008169
48,492.287,1.14412,0.18407,1.44584,0.78189,0.71896,0.77266,0.43719,1.34585,0.19586,1.72808,0.00080205,0.00080205,0.00080205
49,501.298,1.16519,0.18488,1.45757,0.82108,0.72109,0.7833,0.43754,1.34654,0.2057,1.77429,0.0007872,0.0007872,0.0007872
50,510.238,1.1486,0.18308,1.42701,0.81099,0.71444,0.78469,0.44283,1.33872,0.19373,1.71699,0.00077235,0.00077235,0.00077235
51,519.553,1.14438,0.18454,1.43244,0.77875,0.69386,0.76669,0.42529,1.38833,0.1999,1.7689,0.0007575,0.0007575,0.0007575
52,529.22,1.14046,0.18547,1.44806,0.75407,0.72552,0.77575,0.43518,1.36601,0.20232,1.73726,0.00074265,0.00074265,0.00074265
53,538.534,1.13042,0.1819,1.43368,0.78833,0.70817,0.78174,0.44547,1.33379,0.1939,1.72154,0.0007278,0.0007278,0.0007278
54,547.877,1.14917,0.18297,1.44148,0.80777,0.73119,0.7967,0.45944,1.31386,0.19107,1.70392,0.00071295,0.00071295,0.00071295
55,557.137,1.1412,0.18158,1.43604,0.80641,0.7261,0.79214,0.45514,1.33574,0.19081,1.73785,0.0006981,0.0006981,0.0006981
56,567.381,1.12349,0.181,1.42008,0.79045,0.71641,0.7749,0.44606,1.33566,0.19295,1.72157,0.00068325,0.00068325,0.00068325
57,578.035,1.12343,0.17991,1.41886,0.77345,0.70839,0.77855,0.43618,1.37313,0.19737,1.78417,0.0006684,0.0006684,0.0006684
58,587.444,1.13406,0.17852,1.4299,0.83275,0.71564,0.79005,0.46076,1.3095,0.1929,1.70447,0.00065355,0.00065355,0.00065355
59,597.097,1.13796,0.17998,1.4257,0.83618,0.71536,0.79185,0.45438,1.32172,0.19179,1.71992,0.0006387,0.0006387,0.0006387
60,606.318,1.12894,0.17925,1.42544,0.81727,0.72804,0.79511,0.45961,1.32649,0.18945,1.70877,0.00062385,0.00062385,0.00062385
61,615.392,1.12376,0.17763,1.413,0.81666,0.7212,0.78117,0.44641,1.32727,0.18969,1.71655,0.000609,0.000609,0.000609
62,624.623,1.13254,0.17732,1.42677,0.83432,0.73139,0.7929,0.45846,1.33412,0.18691,1.73549,0.00059415,0.00059415,0.00059415
63,633.922,1.11606,0.17471,1.41147,0.83323,0.73107,0.79975,0.46073,1.32427,0.1843,1.71381,0.0005793,0.0005793,0.0005793
64,643.172,1.12948,0.17541,1.40814,0.82675,0.72271,0.79411,0.45517,1.32265,0.18884,1.70496,0.00056445,0.00056445,0.00056445
